,BCH_adj_svi,WBNB_adj_svi,ETH_adj_svi,XLM_adj_svi,C98_adj_svi,JASMY_adj_svi,AVAX_adj_svi,SHIB_adj_svi,KRW_adj_svi,XRP_adj_svi,DYDX_adj_svi,ZEC_adj_svi,SNX_adj_svi,CHZ_adj_svi,BCV_adj_svi,QTUM_adj_svi,ENJ_adj_svi,BTC_adj_svi,DOGE_adj_svi,LTC_adj_svi,CRV_adj_svi,ALGO_adj_svi,SXP_adj_svi,BTG_adj_svi,KNC_adj_svi,PEOPLE_adj_svi,DOT_adj_svi,MANA_adj_svi,RUNE_adj_svi,GALA_adj_svi,NEO_adj_svi,ZIL_adj_svi,XTZ_adj_svi,THETA_adj_svi,LINK_adj_svi,WIN_adj_svi,SUSHI_adj_svi,WBTC_adj_svi,BNB_adj_svi,TRX_adj_svi,KAVA_adj_svi,MATIC_adj_svi,OMG_adj_svi,BETA_adj_svi,BAT_adj_svi,ALICE_adj_svi,FIL_adj_svi,ADA_adj_svi,POWR_adj_svi,AXS_adj_svi,WAVES_adj_svi,EOS_adj_svi,LRC_adj_svi,FTM_adj_svi,KSM_adj_svi,MIR1_adj_svi,KLAY_adj_svi,ATOM_adj_svi,UNI1_adj_svi,CAKE_adj_svi,SUN_adj_svi,VET_adj_svi,SOL_adj_svi,REQ_adj_svi,ANC1_adj_svi,ENS_adj_svi,ETC_adj_svi,WETH_adj_svi,NEAR_adj_svi,ZRX_adj_svi,RSR_adj_svi,LUNA1_adj_svi,MKR_adj_svi,TRY_adj_svi,DASH_adj_svi,SAND_adj_svi,XMR_adj_svi,AAVE_adj_svi,JST_adj_svi,DAR_adj_svi,REP_adj_svi,ICP_adj_svi
2015-01-01,1.1131725417439702,0.0,0.0,7.859751643535427,0.0,0.0,0.0,0.0,15.278014473295896,13.046472208489302,0.0,0.0,0.0,0.0,0.0,24.100840918341717,0.0,13.455508474576272,0.91991341991342,3.542201419296391,0.0,0.0,8.466748768472906,2.4,0.0,5.539791412195808,2.9341290293412907,0.7655502392344498,0.0,2.6308577692518496,6.407575737202328,0.0,4.892164622081519,1.1851851851851851,13.896968521750372,14.600002647548843,5.692773135402785,0.0,0.0,31.631722880583407,0.0,0.0,2.4178795832339137,1.063627730294397,3.0006360795375975,7.561156412157153,9.159347553324968,7.693716797948342,0.0,0.0,6.486486486486487,4.945593340310718,0.0,0.0,0.0,0.0,0.0,2.994483845547675,0.7830001046791584,19.01625595105947,2.9560810810810807,7.465929290934229,10.196779964221825,0.0,0.0,0.0,0.0,0.0,14.113521570814253,0.0,0.0,2.689974403590216,0.0,3.092220390244889,6.5534037696778595,5.041237113402062,10.461674840222473,0.0,2.1875,3.6057692307692313,0.0,0.0
2015-01-02,0.0,0.0,0.0,8.677867056245434,0.0,0.0,0.0,0.0,23.003063417310592,14.444876050568546,0.0,0.0,0.0,0.0,0.0,25.13142055443452,0.0,15.930084745762713,1.0281385281385282,4.56892646836781,0.0,0.0,0.0,4.199999999999999,0.0,3.8034388800150323,11.524029115240292,0.4944178628389155,1.4415954415954415,0.9646478487256783,5.518092215842622,2.171641791044776,0.0,0.0,9.598603839441537,14.600002647548843,6.457970563343289,0.0,0.0,49.86326344576116,0.0,0.0,2.1633659428935017,0.9306742640075975,2.8291711607068777,10.229799851742031,9.159347553324968,1.6486535995603588,0.0,7.24810832337714,4.4324324324324325,5.395958010449651,0.0,0.0,0.0,0.0,0.0,2.6489664787537124,0.8541819323772638,32.484767754508,5.189564564564564,8.157219040094805,12.343470483005367,0.0,0.0,0.0,2.013115754155864,0.0,17.63091012428821,3.234501347708895,0.0,1.372028028404625,0.0,2.309302960722631,6.271030896298563,4.855670103092784,16.947141161836406,7.746772178259059,1.8593750000000002,0.0,1.5189608212864028,0.0
2015-01-03,0.0,0.0,0.0,8.473338203067932,0.0,0.0,0.0,0.0,11.873755616611453,16.3676813334275,0.0,0.0,0.0,0.0,2.588872309987848,32.34547800708415,0.0,11.290254237288137,0.974025974025974,8.05979163521063,0.0,0.0,0.0,4.457142857142856,0.0,1.1989100817438691,11.00863511008635,0.8771929824561403,0.7521367521367521,1.4031241436009865,5.6663394694025735,0.0,0.0,0.0,9.37237411932002,14.883952260912157,5.182641516775782,0.0,0.0,35.61987237921604,0.0,7.649999999999999,3.372305734510459,1.429249762583096,6.087004618490555,9.933283914010378,12.296110414052698,10.57886059717897,0.0,0.0,1.1891891891891893,4.6078198377065185,0.0,0.0,0.0,0.0,0.0,2.7641389343517,0.7118182769810532,48.19803152519795,3.6129879879879874,5.115544143788267,1.9677996422182469,0.0,0.0,0.0,0.712978496263535,0.0,23.786340092867636,0.0,0.0,2.6206088048962375,0.0,1.5263855312003722,6.741652351930724,3.0000000000000004,9.535179651420483,0.0,2.953125,0.0,0.0,0.0
2015-01-04,0.9959964847182892,0.0,0.0,13.382030679327977,0.0,0.0,0.0,0.0,18.81320636292974,15.843279892647786,0.0,0.0,0.0,0.0,0.0,35.43721691536256,0.0,18.404661016949156,1.5016233766233766,7.597765363128492,0.0,0.0,3.8100369458128074,6.685714285714285,0.0,12.340505496570515,13.75740313757403,0.8931419457735247,2.5698005698005697,1.5127432173198136,9.669015315521253,0.0,0.0,1.650793650793651,12.08713076077823,24.25428950190151,6.8405692773135405,0.0,1.7579105976896034,24.22515952597994,0.0,9.149999999999999,0.0,1.9610636277302946,7.801653806797754,17.346182357301704,11.668757841907151,7.556328997984979,0.0,0.0,0.0,7.197416691005386,0.0,0.0,0.0,0.0,0.0,1.9579317451657876,2.3490003140374753,27.99526382002516,3.6129879879879874,8.157219040094805,0.0,0.0,0.0,0.0,3.019673631233796,0.0,11.475480155708786,2.324797843665768,0.0,4.701576765715591,0.0,4.745046074791879,7.400522389815752,7.731958762886597,20.653121917044366,0.0,7.984375000000001,1.644736842105263,0.0,0.0
2015-01-05,0.0,0.0,0.0,13.70473175878581,0.0,0.0,0.0,0.0,16.203422519734886,13.368881983190903,0.0,0.0,0.0,0.0,0.0,36.940733781717135,0.0,12.985510828625236,1.4005525724275725,7.743876235496347,0.0,0.0,0.0,1.1491071428571429,1.029336078229542,8.916997087287418,8.991394057655878,0.36537625054371464,4.497150997150997,3.361651594044031,8.080651884521775,0.0,3.8682231895528294,0.0,18.619513929287056,22.864430868070553,2.2706401937799745,0.0,0.0,13.146966474222626,0.0,10.430999999999997,1.90885230255309,1.680911680911681,41.237312978788125,68.74227823078823,10.323523339103916,24.99401130102724,0.0,0.0,0.9729729729729729,6.586752731494967,0.0,0.0,0.0,0.0,0.0,2.2376362801894714,1.2528001674866536,23.851106342040993,1.0574598989233135,8.82311447193928,4.83005366726297,0.0,17.921146953405017,0.0,2.5969193228610643,0.0,12.251374689563335,0.0,0.0,5.716836892054729,0.0,7.775226496461361,7.16521166199967,8.310174809502465,22.254471626084847,0.0,6.843750000000001,0.0,0.0,0.7512366511025843
2015-01-06,0.0,0.0,0.0,15.963639314990665,0.0,0.0,0.0,0.0,37.82734579192082,16.373508016102832,0.0,0.0,0.0,0.0,0.0,33.93370004900799,0.0,17.688924199623354,0.7508116883116883,6.477582008308265,0.0,0.0,0.0,12.744642857142857,0.0,9.04867048764446,4.701985885729538,1.1367261128026678,0.0,2.655704759294784,9.215197192378545,0.0,0.0,0.0,13.33139422144658,27.497292980840406,2.3769176143272666,0.0,1.4942240080361628,12.513926871265063,0.0,0.0,2.863278453829635,5.18281101614435,18.946873530794544,66.17247343711391,12.821815987167065,25.575267377795313,3.792667509481669,6.600955794504182,5.081081081081082,6.586752731494967,0.0,0.0,0.0,0.0,0.0,2.8529862572415765,1.0179001360829059,24.311568284039232,2.114919797846627,10.654326909511582,9.66010733452594,0.0,0.0,0.0,3.502821412231203,0.0,7.208060219508765,2.022574123989218,10.45673076923077,4.701576765715591,0.0,6.339877875670555,7.282867025907712,7.731958762886597,41.47066813457057,0.0,12.318750000000001,0.0,0.0,1.532522768249272
2015-01-07,0.0,0.0,0.0,16.286340394448505,0.0,0.0,0.0,0.0,24.96483970760332,15.666537184829435,0.0,0.0,0.0,0.0,0.0,37.44190607050199,0.0,13.496751412429381,1.1117788461538463,2.6299957026214007,0.0,0.0,0.0,1.1491071428571429,0.0,5.888508879075449,13.04250177558631,1.4615050021748586,4.497150997150997,1.0421119941536496,8.761379069235838,0.0,3.754451919271864,0.7121070650482414,13.020328356279492,25.180861924455478,2.6957498759691436,0.0,0.0,12.830446672743845,0.0,2.5619999999999994,0.954426151276545,4.202279202279203,38.45100804778893,86.08846058808993,15.704461350316851,6.393816844448828,1.8584070796460177,0.0,3.027027027027027,7.6554146606382005,0.0,0.0,0.0,0.0,0.0,1.6782272101421036,1.3311001779545695,29.837111588018118,4.053596279206035,3.4959510171834878,7.8711985688729875,0.0,0.0,0.7567164179104479,2.5969193228610643,0.0,3.328587550236015,0.0,0.0,1.6557963866981729,0.0,7.934709676549229,5.282725839471022,4.840878529807262,31.061895025807463,0.0,8.440625,0.0,0.0,1.5024733022051686
2015-01-08,0.8592910848549946,0.0,0.0,15.640938235532827,0.0,0.0,0.0,0.0,33.91267002712854,16.196765308284483,0.0,0.0,7.484243697478991,8.229098090849241,0.0,39.947767514426275,0.0,14.007991996233523,1.0540241008991007,0.0,0.0,0.0,0.0,6.79017857142857,0.0,0.6215728647937612,22.812820389418526,0.36537625054371464,2.141500474833808,1.311044121677172,9.442106253949897,1.9253731343283582,3.754451919271864,0.7121070650482414,17.99738219895288,21.474572234239595,1.4204208294016363,0.0,0.0,12.513926871265063,5.906460945033751,2.5619999999999994,3.81770460510618,5.18281101614435,28.69894078929174,43.68668149246355,12.629639629623746,6.393816844448828,1.8584070796460177,0.0,3.027027027027027,6.434086741617364,0.0,0.0,0.0,0.0,0.0,1.6782272101421036,0.6264000837433268,20.62787274805331,8.19531421665568,6.9919020343669755,9.481216457960643,0.0,0.0,0.0,4.348330028976665,0.0,5.26832388487239,0.0,10.216346153846153,2.6710565130373123,0.0,7.934709676549229,6.223968750735346,5.419094576423128,35.8659441529289,0.0,6.843750000000001,1.4189886480908152,2.6712759270898805,0.7512366511025843
2015-01-09,0.8788204276926082,0.0,0.0,15.318237156074993,0.0,0.0,0.0,0.0,23.846360917662672,15.666537184829435,0.0,0.0,0.0,0.0,2.2227691550400714,31.427838605083707,0.0,12.985510828625236,1.0251467282717281,10.763500931098696,0.0,0.0,0.0,9.401785714285714,0.0,4.571774875505026,11.85099950560677,1.1773234739741916,4.497150997150997,1.6135927651411346,6.946106576665008,0.0,3.8682231895528294,0.0,12.709262491112405,29.813724037225338,6.202904754029788,0.0,0.0,12.830446672743845,0.0,5.3069999999999995,0.0,9.665242165242166,26.609212091042338,55.25080306399802,6.479996188237536,19.181450533346485,0.0,0.0,7.135135135135136,10.403402478435082,0.0,0.0,0.0,0.0,0.0,4.027745304341048,2.3490003140374753,17.86510109606387,1.0574598989233135,8.989588329900396,8.050089445438283,0.0,0.0,0.3716417910447761,0.0,0.0,15.742900091908805,0.0,0.0,2.38098219122613,0.0,6.658844235846289,9.047697484528321,9.004034065441505,41.47066813457057,0.0,1.8250000000000002,0.0,0.0,0.0
2015-01-10,0.0,0.0,0.0,11.123123123123122,0.0,0.0,0.0,0.0,15.271356861451011,14.959566353556042,0.0,0.0,0.0,0.0,0.0,24.411426562095713,0.0,10.838300376647837,0.9818306693306694,0.0,0.0,0.0,0.0,1.3580357142857142,0.0,4.308428074790942,11.85099950560677,1.2991155574887632,7.709401709401709,1.8152918607837767,9.895924377092607,0.0,0.0,0.0,18.30844806411997,31.20358267105629,4.289911184178527,0.0,0.0,14.096525878658966,0.0,15.005999999999997,1.0816829714467509,3.9221272554605893,41.93388921153793,53.96590066716086,11.476581484363834,14.531401919201883,0.0,0.0,2.3783783783783785,8.266078620148615,0.0,1.1737089201877933,0.0,0.0,0.0,3.2445726062747338,1.487700198890401,13.720943618079707,3.5248663297443783,11.98611777320053,7.334525939177102,0.0,0.0,0.0,3.98596919322861,0.0,17.294689159617903,0.0,0.0,6.587059857488277,0.0,6.818327415934157,6.341624114643387,9.582250112057372,31.061895025807463,0.0,7.984375000000001,0.0,4.661638382568615,0.0
